bnumber	symbol	synonyms	type
b4308	yjhR	ECK4299	pseudo
b0568	nfrA	ECK0560	protein-coding
b0001	thrL	ECK0001	protein-coding
b0021	insB1	ECK0022	protein-coding
b3229	sspA	ECK3218|pog|ssp	protein-coding
b0007	yaaJ	ECK0007	protein-coding
b0005	yaaX	ECK0005	protein-coding
b0008	talB	ECK0008|yaaK	protein-coding
b0006	yaaA	ECK0006	protein-coding
b0014	dnaK	ECK0014|groPAB|groPC|groPF|grpC|grpF|seg	protein-coding
b0013	yaaI	ECK0013	protein-coding
b2248	yfaX	ECK2241	protein-coding
b0015	dnaJ	ECK0015|groP|grpC	protein-coding
b0016	insL1	ECK0016|yi81-1	protein-coding
b0018	mokC	ECK0018|gefL	protein-coding
b0020	nhaR	ECK0021|antO|yaaB	protein-coding
b0019	nhaA	ECK0020|ant|antA	protein-coding
b0023	rpsT	ECK0024|sup(s20)|supS|supS20	protein-coding
b0009	mog	ECK0009|bisD|chlG|mogA|yaaG	protein-coding
b0026	ileS	ECK0027|ilvS	protein-coding
b0031	dapB	ECK0032	protein-coding
b2824	ygdB	ECK2820	protein-coding
b2625	yfjI	ECK2621	protein-coding
b0040	caiT	ECK0041|yaaP	protein-coding
b0045	yaaU	ECK0046|yabE	protein-coding
b0046	kefF	ECK0047|yabF	protein-coding
b0350	mhpD	ECK0347|mhpS	protein-coding
b4267	idnD	ECK4260|yjgV	protein-coding
b0049	apaH	ECK0050|cfcB	protein-coding
b0011	yaaW	ECK0011	protein-coding
b0050	apaG	ECK0051	protein-coding
b0047	kefC	ECK0048|trkC	protein-coding
b3228	sspB	ECK3217	protein-coding
b0033	carB	ECK0034|pyrA	protein-coding
b0029	ispH	ECK0030|lytB|yaaE	protein-coding
b0094	ftsA	ECK0095|divA	protein-coding
b0060	polB	ECK0061|dinA	protein-coding
b0064	araC	ECK0065	protein-coding
b0132	rpnC	ECK0131|yadD	protein-coding
b1464	yddE	ECK1458	protein-coding
b0065	yabI	ECK0066	protein-coding
b0067	thiP	ECK0068|sfuB|yabK	protein-coding
b0066	thiQ	ECK0067|sfuC|yabJ	protein-coding
b0095	ftsZ	ECK0096|sfiB|sulB	protein-coding
b0069	sgrR	ECK0070|yabN	protein-coding
b3786	wecB	ECK3778|mnaA|nfrC|rffE|yifF	protein-coding
b0048	folA	ECK0049|tmr|tmrA	protein-coding
b0085	murE	ECK0086	protein-coding
b0010	satP	ECK0010|yaaH	protein-coding
b0070	setA	ECK0072|yabM	protein-coding
b0115	aceF	ECK0114	protein-coding
b0034	caiF	ECK0035	protein-coding
b0030	rihC	ECK0031|yaaF	protein-coding
b4016	aceK	ECK4008	protein-coding
b0073	leuB	ECK0075	protein-coding
b0084	ftsI	ECK0085|pbpB|sep	protein-coding
b0027	lspA	ECK0028|lsp	protein-coding
b2347	yfdC	ECK2341	protein-coding
b0083	ftsL	ECK0084|mraR|yabD	protein-coding
b0080	cra	ECK0081|fruC|fruR|shl	protein-coding
b1094	acpP	ECK1080	protein-coding
b0082	rsmH	ECK0083|mraW|yabC	protein-coding
b0028	fkpB	ECK0029|slpA|yaaD	protein-coding
b2182	bcr	ECK2176|bicA|bicR|sur|suxA	protein-coding
b0119	yacL	ECK0118	protein-coding
b0081	mraZ	ECK0082|yabB	protein-coding
b1661	cfa	ECK1657|cdfA	protein-coding
b0053	surA	ECK0054	protein-coding
b0086	murF	ECK0087|mra	protein-coding
b0087	mraY	ECK0088|murX	protein-coding
b3785	wzzE	ECK3777|wzz|yifC	protein-coding
b0096	lpxC	ECK0097|asmB|envA	protein-coding
b0238	gpt	ECK0239|glyD|gpp|gxu	protein-coding
b0088	murD	ECK0089	protein-coding
b0139	htrE	ECK0138	protein-coding
b1615	uidC	ECK1610|gusC	protein-coding
b0098	secA	ECK0099|azi|pea|prlD	protein-coding
b1186	nhaB	ECK1174	protein-coding
b0093	ftsQ	ECK0094	protein-coding
b0099	mutT	ECK0100|nudA	protein-coding
b0971	serT	ECK0962|divE	tRNA
b0113	pdhR	ECK0112|aceC|genA|yacB	protein-coding
b0138	yadM	ECK0137	protein-coding
b0137	yadL	ECK0136	protein-coding
b0124	gcd	ECK0123	protein-coding
b0097	secM	ECK0098|srrA|yacA	protein-coding
b0126	can	ECK0125|yadF	protein-coding
b0127	yadG	ECK0126	protein-coding
b0114	aceE	ECK0113	protein-coding
b0136	yadK	ECK0135	protein-coding
b0128	yadH	ECK0127	protein-coding
b0135	yadC	ECK0134	protein-coding
b0182	lpxB	ECK0181|pgsB	protein-coding
b0134	panB	ECK0133	protein-coding
b1613	manA	ECK1608|pmi	protein-coding
b0141	yadN	ECK0140	protein-coding
b2996	hybA	ECK2990|hydL	protein-coding
b0149	mrcB	ECK0148|pbpF|ponB	protein-coding
b0273	argF	ECK0274	protein-coding
b0148	hrpB	ECK0147|yadO	protein-coding
b0144	gluQ	ECK0143|yadB	protein-coding
b2331	smrB	ECK2325|yfcN	protein-coding
b0147	thpR	ECK0146|ligT|yadP	protein-coding
b0181	lpxA	ECK0180	protein-coding
