"t","n_modules","largest","hungarian_wf1","best_mean_f1","combo_entropy","unexplained","within_cor","between_cor"
0,6,8,0.955799755799756,0.952136752136752,0,0,0.712165925024645,-0.0135733792566291
1,4,8,0.936961451247165,0.93015873015873,0,0,0.931309541640907,-0.00942609905324279
2,4,8,0.936961451247165,0.93015873015873,0,0.0127243064116367,0.985092006754122,-0.0050704187450551
3,3,10,0.906349206349206,0.894444444444444,0.00515741305688332,0.0248256867703696,0.996418234820775,-0.00164335328217706
4,3,10,0.906349206349206,0.894444444444444,0.0139708268149144,0.0339926976312773,0.998899422251393,0.00118618304628758
5,3,10,0.906349206349206,0.894444444444444,0.0251431724162863,0.0405161889292894,0.999510686613702,0.00372272814490946
6,3,10,0.906349206349206,0.894444444444444,0.0377103841984665,0.0450865535374015,0.99968693274142,0.00614112192013515
7,3,10,0.906349206349206,0.894444444444444,0.0510063535805647,0.048293275313575,0.99974490013489,0.0085316602565685
8,3,10,0.906349206349206,0.894444444444444,0.0645953222670124,0.0505612521207379,0.999764110443008,0.0109369630305987
9,3,10,0.906349206349206,0.894444444444444,0.0781979487096857,0.0521816872083677,0.999768541186661,0.0133741258411762
10,3,10,0.906349206349206,0.894444444444444,0.0916384381454817,0.0533516248190959,0.999766987789367,0.0158472443108252
11,3,10,0.906349206349206,0.894444444444444,0.104809087782671,0.0542046719593066,0.999763189097622,0.0183542682849823
12,3,10,0.906349206349206,0.894444444444444,0.117646868215316,0.0548321894479193,0.999758850598725,0.0208906308983698
13,3,10,0.906349206349206,0.894444444444444,0.130117973525949,0.0552973549162275,0.999754745838422,0.023451087415041
14,3,10,0.906349206349206,0.894444444444444,0.142207603700781,0.0556443970710634,0.999751192451791,0.0260305840925095
15,3,10,0.906349206349206,0.894444444444444,0.153913188784631,0.0559046662635782,0.99974828222998,0.0286246165173038
16,3,10,0.906349206349206,0.894444444444444,0.165239887012764,0.0561006522787851,0.999745998854792,0.0312293299518957
17,3,10,0.906349206349206,0.894444444444444,0.176197592645412,0.056248669604253,0.999744279253991,0.0338414976838565
18,3,10,0.906349206349206,0.894444444444444,0.186798950668526,0.0563606730251291,0.999743045216186,0.0364584487184163
19,3,10,0.906349206349206,0.894444444444444,0.197058045677724,0.0564455008762101,0.999742219003996,0.0390779808382706
20,3,10,0.906349206349206,0.894444444444444,0.206989543606497,0.0565097377142783,0.999741730367429,0.0416982761025694
21,3,10,0.906349206349206,0.894444444444444,0.216608138233999,0.0565583209129776,0.999741519025581,0.0443178259286607
22,3,10,0.906349206349206,0.894444444444444,0.225928202910525,0.0565949727185543,0.999741534861313,0.0469353678840713
23,3,10,0.906349206349206,0.894444444444444,0.234963580237279,0.05662251172629,0.999741737056499,0.049549833931792
24,3,10,0.906349206349206,0.894444444444444,0.243727464075987,0.0566430799134981,0.999742092824514,0.0521603088659694
25,3,10,0.906349206349206,0.894444444444444,0.252232342848536,0.056658309745416,0.999742576076934,0.0547659973665525
26,3,10,0.906349206349206,0.894444444444444,0.260489982973284,0.0566694482166883,0.999743166184637,0.057366198125595
27,3,10,0.906349206349206,0.894444444444444,0.268511438021552,0.0566774495895921,0.999743846897852,0.0599602836636482
28,3,10,0.906349206349206,0.894444444444444,0.276307073789132,0.0566830451448331,0.999744605439925,0.0625476846650818
29,3,10,0.906349206349206,0.894444444444444,0.283886602645274,0.0566867959013938,0.999745431765418,0.0651278778698385
30,3,10,0.906349206349206,0.894444444444444,0.291259122702737,0.0566891326230533,0.999746317962919,0.0677003767461378
